,Name, Diameter, Mass, Inclination, Eccentricity, Semi_majorAxis, SurfaceGravity, OrbitalPeriod, SiderealRotation, Satellites,Surface Temperature
Mercury,Mercury,4879.4,3.302e+23,7.004,0.20563593,0.38709927,0.3783231083844581,87.965,58.65,0.0,440.0
Venus,Venus,12103.6,4.869e+24,3.39471,0.00677672,0.72333566,0.9069529652351738,224.475,243.0187,0.0,737.0
Earth,Earth,12756.3,5.974e+24,5e-05,0.01671123,1.00000261,1.0,365.0,0.997271,1.0,288.0
Mars,Mars,6794.4,6.419e+23,1.85061,0.0933941,1.52371034,0.3793456032719837,686.565,1.02595,2.0,208.0
Jupiter,Jupiter,142984.0,1.899e+27,1.3053,0.04838624,5.202887,2.534764826175869,4328.9,0.4135,63.0,163.0
Saturn,Saturn,120536.0,5.688e+26,2.48446,0.05386179,9.53667594,0.916155419222904,10752.9,0.4264,64.0,133.0
Uranus,Uranus,51118.0,8.683e+25,0.774,0.04725744,19.18916464,0.7944785276073619,30663.65,0.7181,27.0,78.0
Neptune,Neptune,49572.0,1.024e+26,1.76917,0.00859048,30.06992276,1.1247443762781186,60148.35,0.6712,14.0,73.0
Pluto,Pluto,2370.0,1.3e+22,17.08900092,0.250248713,39.44506973,0.06339468302658487,90425.341776,6.38723,5.0,48.0
Planet X,,44790.41111111111,2.9653978888888892e+26,3.9634778799999992,0.08120696033333334,11.897540883333333,0.8997955010224951,21964.79408622222,34.70092788888889,19.555555555555557,240.88888888888889
