,time,gFx,gFy,gFz,a_mag
A,0.007,-5.270675200000001,-4.329483200000001,952.4863040000001,952.5107263172545
B,0.008,6.588344000000001,2.2588608000000003,943.2626224,943.2883353173096
C,0.008,0.0,5.5530328,944.8626488000002,944.8789664664097
D,0.009,5.082436800000001,-2.0706224000000004,944.2038144000003,944.2197634917729
E,0.009,-1.4117880000000003,-5.270675200000001,945.1450064000002,945.1607568478905
F,0.009,3.4824104000000013,-1.8823840000000005,936.5801592000003,936.5885249984731
G,0.01,-1.8823840000000005,-1.8823840000000005,943.0743840000004,943.0781412460088
H,0.014,8.470728000000001,-2.3529800000000005,956.1569528000002,956.1973688185469
J,0.015,1.1294304000000002,-3.4824104000000013,950.6039200000004,950.6109695951282
K,0.017,-10.823708000000003,-1.8823840000000005,942.3214304000002,942.3854700787226
0,0.02,-0.05,0.015,1.2,
0,0.02,-0.05,0.015,1.2,
0,0.02,-0.05,0.015,1.2,
0,0.02,-0.05,0.015,1.2,
0,0.02,-0.05,0.015,1.2,
0,0.02,-0.05,0.015,1.2,
0,0.02,-0.05,0.015,1.2,
